Name,Description,Image,Processor Needed,Link to Wiki
Wood Fence,Keeps grass and animals contained!,Wood_Fence.png,Null,https://stardewvalleywiki.com/Wood_Fence
Stone Fence,Lasts longer than a wood fence.,Stone_Fence.png,Null,https://stardewvalleywiki.com/Stone_Fence
Iron Fence,Lasts longer than a stone fence.,Iron_Fence.png,Null,https://stardewvalleywiki.com/Iron_Fence
Hardwood Fence,The most durable type of fence.,Hardwood_Fence.png,Null,https://stardewvalleywiki.com/Hardwood_Fence
Grass Starter,Place this on your farm to start a new patch of grass.,Grass_Starter.png,Null,https://stardewvalleywiki.com/Grass_Starter
Gate,Allows you to pass through a fence.,Gate.png,Null,https://stardewvalleywiki.com/Gate
Chest,A place to store your items.,Chest.png,Null,https://stardewvalleywiki.com/Chest
Torch,Provides a modest amount of light.,Torch.png,Null,https://stardewvalleywiki.com/Torch
Scarecrow,"Prevents crows from attacking your crops. Has a limited radius (about 8 ""tiles"").",Scarecrow.png,Null,https://stardewvalleywiki.com/Scarecrow
Deluxe Scarecrow,"Prevents crows from attacking your crops. Has a large radius (about 16 ""tiles"").",Deluxe_Scarecrow.png,Null,https://stardewvalleywiki.com/Deluxe_Scarecrow
Bee House,Place outside and wait for delicious honey! (Except in Winter).,Bee_House.png,Null,https://stardewvalleywiki.com/Bee_House
Keg,Place a fruit or vegetable in here. Eventually it will turn into a beverage.,Keg.png,Null,https://stardewvalleywiki.com/Keg
Cask,Use in the cellar to age products like wine and cheese.,Cask.png,Null,https://stardewvalleywiki.com/Cask
Furnace,Turns ore and coal into metal bars.,Furnace.png,Null,https://stardewvalleywiki.com/Furnace
Garden Pot,"Grows crops from any season when indoors. Outdoors, it can only house seasonal crops.",Garden_Pot.png,Null,https://stardewvalleywiki.com/Garden_Pot
Wood Sign,Use an item on this to change what's displayed. The item won't be consumed.,Wood_Sign.png,Null,https://stardewvalleywiki.com/Wood_Sign
Cheese Press,Turns milk into cheese.,Cheese_Press.png,Null,https://stardewvalleywiki.com/Cheese_Press
Stone Sign,Use an item on this to change what's displayed. The item won't be consumed.,Stone_Sign.png,Null,https://stardewvalleywiki.com/Stone_Sign
Mayonnaise Machine,Turns eggs into mayonnaise.,Mayonnaise_Machine.png,Null,https://stardewvalleywiki.com/Mayonnaise_Machine
Seed Maker,Place crops inside to produce a varying amount of seeds. Doesn't work with fruit tree crops.,Seed_Maker.png,Null,https://stardewvalleywiki.com/Seed_Maker
Loom,Turns raw wool into fine cloth.,Loom.png,Null,https://stardewvalleywiki.com/Loom
Oil Maker,Makes gourmet truffle oil.,Oil_Maker.png,Null,https://stardewvalleywiki.com/Oil_Maker
Recycling Machine,Turns fishing trash into resources.,Recycling_Machine.png,Null,https://stardewvalleywiki.com/Recycling_Machine
Worm Bin,Produces bait on a regular basis. The worms are self-sufficient.,Worm_Bin.png,Null,https://stardewvalleywiki.com/Worm_Bin
Preserves Jar,Turns vegetables into pickles and fruit into jam.,Preserves_Jar.png,Null,https://stardewvalleywiki.com/Preserves_Jar
Charcoal Kiln,Turns 10 pieces of wood into one piece of coal.,Charcoal_Kiln.png,Null,https://stardewvalleywiki.com/Charcoal_Kiln
Tapper,"Place on a maple, oak, or pine tree and wait for the reservoir to fill with product!",Tapper.png,Null,https://stardewvalleywiki.com/Tapper
Lightning Rod,Collects energy from lightning storms and turns it into battery packs.,Lightning_Rod.png,Null,https://stardewvalleywiki.com/Lightning_Rod
Slime Incubator,Hatches slimes eggs into slimes. Allows you to raise slimes outdoors.,Slime_Incubator.png,Null,https://stardewvalleywiki.com/Slime_Incubator
Slime Egg-Press,Compresses 100 pieces of slime into a slime egg. It's a miracle of science!,Slime_Egg-Press.png,Null,https://stardewvalleywiki.com/Slime_Egg-Press
Crystalarium,Insert a gem of your choice and it will grow copies.,Crystalarium.png,Null,https://stardewvalleywiki.com/Crystalarium
Mini-Jukebox,Allows you to play your favorite tunes.,Mini-Jukebox.png,Null,https://stardewvalleywiki.com/Mini-Jukebox
Sprinkler,Waters the 4 adjacent tiles every morning.,Sprinkler.png,Null,https://stardewvalleywiki.com/Sprinkler
Quality Sprinkler,Waters the 8 adjacent tiles every morning.,Quality_Sprinkler.png,Null,https://stardewvalleywiki.com/Quality_Sprinkler
Iridium Sprinkler,Waters the 24 adjacent tiles every morning.,Iridium_Sprinkler.png,Null,https://stardewvalleywiki.com/Iridium_Sprinkler
Quality Fertilizer,"Improves soil quality, increasing your chance to grow quality crops. Mix into tilled soil.",Quality_Fertilizer.png,Null,https://stardewvalleywiki.com/Quality_Fertilizer
Basic Retaining Soil,This soil has a chance of staying watered overnight. Mix into tilled soil.,Basic_Retaining_Soil.png,Null,https://stardewvalleywiki.com/Basic_Retaining_Soil
Quality Retaining Soil,This soil has a good chance of staying watered overnight. Mix into tilled soil.,Quality_Retaining_Soil.png,Null,https://stardewvalleywiki.com/Quality_Retaining_Soil
Staircase,Use this to move down a level in the mines.,Staircase.png,Null,https://stardewvalleywiki.com/Staircase
Speed-Gro,Stimulates leaf production. Guaranteed to increase growth rate by at least 10%. Mix into tilled soil.,Speed-Gro.png,Null,https://stardewvalleywiki.com/Speed-Gro
Flute Block,Plays a flute sound when you walk past.,Flute_Block.png,Null,https://stardewvalleywiki.com/Flute_Block
Drum Block,Plays a drum sound when you walk past.,Drum_Block.png,Null,https://stardewvalleywiki.com/Drum_Block
Basic Fertilizer,"Improves soil quality a little, increasing your chance to grow quality crops. Mix into tilled soil.",Basic_Fertilizer.png,Null,https://stardewvalleywiki.com/Basic_Fertilizer
Tree Fertilizer,"Sprinkle on a wild tree to ensure rapid growth, even in winter. Doesn't work on fruit trees.",Tree_Fertilizer.png,Null,https://stardewvalleywiki.com/Tree_Fertilizer
Deluxe Speed-Gro,Stimulates leaf production. Guaranteed to increase growth rate by at least 25%. Mix into tilled soil.,Deluxe_Speed-Gro.png,Null,https://stardewvalleywiki.com/Deluxe_Speed-Gro
Hyper Speed-Gro,Greatly stimulates leaf production. Guaranteed to increase growth rate by at least 33%. Mix into tilled soil.,Hyper_Speed-Gro.png,Null,https://stardewvalleywiki.com/Hyper_Speed-Gro
Deluxe Fertilizer,"Greatly improves soil quality, increasing your chance to grow quality crops. Mix into tilled soil.",Deluxe_Fertilizer.png,Null,https://stardewvalleywiki.com/Deluxe_Fertilizer
Deluxe Retaining Soil,This soil has a 100% chance of staying watered overnight. Mix into tilled soil.,Deluxe_Retaining_Soil.png,,https://stardewvalleywiki.com/Deluxe_Retaining_Soil
Cherry Bomb,Generates a small explosion. Stand back!,Cherry_Bomb.png,,https://stardewvalleywiki.com/Cherry_Bomb
Copper Bar,A bar of pure copper.,Copper_Bar.png,,https://stardewvalleywiki.com/Copper_Bar
Iron Bar,A bar of pure iron.,Iron_Bar.png,Furnace,https://stardewvalleywiki.com/Iron_Bar
Gold Bar,A bar of pure gold.,Gold_Bar.png,Furnace,https://stardewvalleywiki.com/Gold_Bar
Ancient Seeds,Could these still grow?,Ancient_Seeds.png,Null,https://stardewvalleywiki.com/Ancient_Seeds
Spring Seeds,An assortment of wild spring seeds.,Spring_Seeds.png,Null,https://stardewvalleywiki.com/Spring_Seeds
Summer Seeds,An assortment of wild summer seeds.,Summer_Seeds.png,Null,https://stardewvalleywiki.com/Summer_Seeds
Fall Seeds,An assortment of wild fall seeds.,Fall_Seeds.png,Null,https://stardewvalleywiki.com/Fall_Seeds
Winter Seeds,An assortment of wild winter seeds.,Winter_Seeds.png,Null,https://stardewvalleywiki.com/Winter_Seeds
Fiber Seeds,Plant these in any season. Does not require watering. Harvest with the scythe. Takes 7 days to grow.,Fiber_Seeds.png,Null,https://stardewvalleywiki.com/Fiber_Seeds
Tea Sapling,"Takes 20 days to mature. Produces tea leaves during the final week of each season, except winter. No watering necessary!",Tea_Sapling.png,Null,https://stardewvalleywiki.com/Tea_Sapling
Warp Totem: Farm,Warp directly to your house. Consumed on use.,Warp_Totem:_Farm.png,Null,https://stardewvalleywiki.com/Warp_Totem:_Farm
Warp Totem: Mountains,Warp directly to the mountains. Consumed on use.,Warp_Totem:_Mountains.png,Null,https://stardewvalleywiki.com/Warp_Totem:_Mountains
Warp Totem: Beach,Warp directly to the beach. Consumed on use.,Warp_Totem:_Beach.png,Null,https://stardewvalleywiki.com/Warp_Totem:_Beach
Warp Totem: Desert,Warp directly to Calico Desert. Consumed on use.,Warp_Totem:_Desert.png,Null,https://stardewvalleywiki.com/Warp_Totem:_Desert
Warp Totem: Island,Warp directly to Ginger Island. Consumed on use.,Warp_Totem:_Island.png,Null,https://stardewvalleywiki.com/Warp_Totem:_Island
Rain Totem,Activate to greatly increase the chance for rain tomorrow. Consumed on use.,Rain_Totem.png,Null,https://stardewvalleywiki.com/Rain_Totem
Cookout Kit,"Use this to create a cooking campfire, allowing you to cook on-the-go!",Cookout_Kit.png,Null,https://stardewvalleywiki.com/Cookout_Kit
Field Snack,A quick snack to fuel the hungry forager.,Field_Snack.png,Null,https://stardewvalleywiki.com/Field_Snack
Jack-O-Lantern,A whimsical fall decoration.,Jack-O-Lantern.png,Null,https://stardewvalleywiki.com/Jack-O-Lantern
Wood Floor,Place on the ground to create paths or to decorate your floors.,Wood_Floor.png,Null,https://stardewvalleywiki.com/Wood_Floor
Straw Floor,Place on the ground to create paths or to spruce up your floors.,Straw_Floor.png,Null,https://stardewvalleywiki.com/Straw_Floor
Weathered Floor,Place on the ground to create paths or to spruce up your floors.,Weathered_Floor.png,Null,https://stardewvalleywiki.com/Weathered_Floor
Rustic Plank Floor,Place on the ground to create paths or to decorate your floors.,Rustic_Plank_Floor.png,Null,https://stardewvalleywiki.com/Rustic_Plank_Floor
Crystal Floor,Place on the ground to create paths or to spruce up your floors.,Crystal_Floor.png,Null,https://stardewvalleywiki.com/Crystal_Floor
Stone Floor,Place on the ground to create paths or to spruce up your floors.,Stone_Floor.png,Null,https://stardewvalleywiki.com/Stone_Floor
Stone Walkway Floor,Place on the ground to create paths or to decorate your floors.,Stone_Walkway_Floor.png,Null,https://stardewvalleywiki.com/Stone_Walkway_Floor
Brick Floor,Place on the ground to create paths or to decorate your floors.,Brick_Floor.png,Null,https://stardewvalleywiki.com/Brick_Floor
Wood Floor,Place on the ground to create paths or to spruce up your floors.,Wood_Floor.png,Null,https://stardewvalleywiki.com/Wood_Path
Gravel Path,Place on the ground to create paths or to spruce up your floors.,Gravel_Path.png,Null,https://stardewvalleywiki.com/Gravel_Path
Cobblestone Path,Place on the ground to create paths or to spruce up your floors.,Cobblestone_Path.png,Null,https://stardewvalleywiki.com/Cobblestone_Path
Stepping Stone Path,Place on the ground to create paths or to spruce up your floors.,Stepping_Stone_Path.png,Null,https://stardewvalleywiki.com/Stepping_Stone_Path
Crystal Path,Place on the ground to create paths or to spruce up your floors.,Crystal_Path.png,Null,https://stardewvalleywiki.com/Crystal_Path
Wild Bait,A unique recipe from Linus that gives you a chance to catch two fish at once.,Wild_Bait.png,Null,https://stardewvalleywiki.com/Wild_Bait
Bait,Causes fish to bite faster. Must first be attached to a fishing rod.,Bait.png,Null,https://stardewvalleywiki.com/Bait_(item)
Spinner,The shape makes it spin around in the water. Slightly increases the bite-rate when fishing.,Spinner.png,Null,https://stardewvalleywiki.com/Spinner
Magnet,"Increases the chance of finding treasures when fishing. However, fish aren't crazy about the taste.",Magnet.png,Null,https://stardewvalleywiki.com/Magnet
Trap Bobber,"Increases the chance of finding treasures when fishing. However, fish aren't crazy about the taste.",Trap_Bobber.png,Null,https://stardewvalleywiki.com/Trap_Bobber
Cork Bobber,"Slightly increases the size of your ""fishing bar"".",Cork_Bobber.png,Null,https://stardewvalleywiki.com/Cork_Bobber
Dressed Spinner,The metal tab and colorful streamers create an enticing spectacle for fish. Increases the bite-rate when fishing.,Dressed_Spinner.png,Null,https://stardewvalleywiki.com/Dressed_Spinner
Treasure Hunter,Fish don't escape while collecting treasures. Also slightly increases the chance to find treasures.,Treasure_Hunter.png,Null,https://stardewvalleywiki.com/Treasure_Hunter
Barbed Hook,"Makes your catch more secure, causing the ""fishing bar"" to cling to your catch. Works best on slow, weak fish.",Barbed_Hook.png,Null,https://stardewvalleywiki.com/Barbed_Hook
Oil of Garlic,Drink this and weaker monsters will avoid you.,Oil_of_Garlic.png,Null,https://stardewvalleywiki.com/Oil_of_Garlic
Life Elixir,Restores health to full.,Life_Elixir.png,Null,https://stardewvalleywiki.com/Life_Elixir
Crab Pot,"Place it in the water, load it with bait, and check the next day to see if you've caught anything. Works in streams, lakes, and the ocean.",Crab_Pot.png,Null,https://stardewvalleywiki.com/Crab_Pot
Iridium Bar,"Glows, attracts items, and increases attack damage by 10%.",Iridium_Bar.png,Null,https://stardewvalleywiki.com/Iridium_Band
Wedding Ring,An old Zuzu City tradition... It's used to ask for another farmer's hand in marriage.,Wedding_Ring.png,Null,https://stardewvalleywiki.com/Wedding_Ring
Ring of Yoba,Occasionally shields the wearer from damage.,Ring_of_Yoba.png,Null,https://stardewvalleywiki.com/Ring_of_Yoba
Sturdy Ring,Cuts the duration of negative status effects in half.,Sturdy_Ring.png,Null,https://stardewvalleywiki.com/Sturdy_Ring
Warrior Ring,"Occasionally infuses the wearer with ""warrior energy"" after slaying a monster.",Warrior_Ring.png,Null,https://stardewvalleywiki.com/Warrior_Ring
Tub o' Flowers,Flowers planted in an oak barrel. Blooms in spring and summer.,Tub_o'_Flowers.png,Null,https://stardewvalleywiki.com/Tub_o%27_Flowers
Wooden Brazier,Provides a moderate amount of light.,Wooden_Brazier.png,Null,https://stardewvalleywiki.com/Wooden_Brazier
Wicked Statue,There's something unsettling about the looks of this statue.,Wicked_Statue.png,Null,https://stardewvalleywiki.com/Wicked_Statue
Stone Brazier,Provides a moderate amount of light.,Stone_Brazier.png,Null,https://stardewvalleywiki.com/Stone_Brazier
Gold Brazier,Provides a moderate amount of light.,Gold_Brazier.png,Null,https://stardewvalleywiki.com/Gold_Brazier
Campfire,Provides a moderate amount of light.,Campfire.png,Null,https://stardewvalleywiki.com/Campfire
Stump Brazier,Provides a moderate amount of light.,Stump_Brazier.png,Null,https://stardewvalleywiki.com/Stump_Brazier
Carved Brazier,Provides a moderate amount of light.,Carved_Brazier.png,Null,https://stardewvalleywiki.com/Carved_Brazier
Skull Brazier,Provides a moderate amount of light.,Skull_Brazier.png,Null,https://stardewvalleywiki.com/Skull_Brazier
Barrel Brazier,Provides a moderate amount of light.,Barrel_Brazier.png,Null,https://stardewvalleywiki.com/Barrel_Brazier
Marble Brazier,Provides a moderate amount of light.,Marble_Brazier.png,Null,https://stardewvalleywiki.com/Marble_Brazier
Wood Lamp-post,Provides a good amount of light.,Wood_Lamp-post.png,Null,https://stardewvalleywiki.com/Wood_Lamp-post
Iron Lamp-post,Provides a good amount of light.,Iron_Lamp-post.png,Null,https://stardewvalleywiki.com/Iron_Lamp-post
Fairy Dust,"Sprinkle on kegs, furnaces, and other refining equipment to instantly receive their product.",Fairy_Dust.png,Null,https://stardewvalleywiki.com/Fairy_Dust
Bug Steak,The last resort of the hungry cave diver.,Bug_Steak.png,Null,https://stardewvalleywiki.com/Bug_Steak
Dark Sign,Use an item on this to change what's displayed. The item won't be consumed.,Dark_Sign.png,Null,https://stardewvalleywiki.com/Dark_Sign
Quality Bobber,Boosts the quality of fish that you catch.,Quality_Bobber.png,Null,https://stardewvalleywiki.com/Quality_Bobber
Stone Chest,A place to store your items.,Stone_Chest.png,Null,https://stardewvalleywiki.com/Stone_Chest
Monster Musk,Spray this on to draw more monsters out of hiding.,Monster_Musk.png,Null,https://stardewvalleywiki.com/Monster_Musk
Mini-Obelisk,Place two on the farm to warp between them.,Mini-Obelisk.png,Null,https://stardewvalleywiki.com/Mini-Obelisk
Bone Mill,Turns bone items into fertilizers.,Bone_Mill.png,Null,https://stardewvalleywiki.com/Bone_Mill
Thorns Ring,"When enemies damage you, they will take damage themselves.",Thorns_Ring.png,Null,https://stardewvalleywiki.com/Thorns_Ring
Glowstone Ring,"Emits a constant light, and also increases your radius for collecting items.",Glowstone_Ring.png,Null,https://stardewvalleywiki.com/Glowstone_Ring
Farm Computer,Scans the farm and displays useful information.,Farm_Computer.png,Null,https://stardewvalleywiki.com/Farm_Computer
Ostrich Incubator,Hatches ostrich eggs into baby ostriches. Place in a barn.,Ostrich_Incubator.png,Null,https://stardewvalleywiki.com/Ostrich_Incubator
Heavy Tapper,"Place on a maple, oak, or pine tree and wait for the reservoir to fill with product! Works twice as fast as a normal tapper.",Heavy_Tapper.png,Null,https://stardewvalleywiki.com/Heavy_Tapper
Geode Crusher,Breaks geodes open automatically. Requires coal to operate.,Geode_Crusher.png,Null,https://stardewvalleywiki.com/Geode_Crusher
Hopper,Items placed inside will automatically be loaded into the machine in front of it.,Hopper.png,Null,https://stardewvalleywiki.com/Hopper
Solar Panel,Slowly generates batteries when left in the sun.,Solar_Panel.png,Null,https://stardewvalleywiki.com/Solar_Panel
Magic Bait,"Allows you to catch fish from any season, time, or weather, from whichever type of water you cast into.",Magic_Bait.png,Null,https://stardewvalleywiki.com/Magic_Bait
